Unnamed: 0,costOfRevenue,ebit,grossProfit,incomeBeforeTax,incomeTaxExpense,interestExpense,minorityInterest,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,operatingIncome,otherOperatingExpenses,sellingGeneralAdministrative,totalOperatingExpenses,totalOtherIncomeExpenseNet,totalRevenue,accountsPayable,capitalSurplus,cash,commonStock,deferredLongTermAssetCharges,deferredLongTermLiab,goodWill,intangibleAssets,inventory,longTermDebt,longTermInvestments,minorityInterest.1,netReceivables,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiab,otherLiab,otherStockholderEquity,propertyPlantEquipment,retainedEarnings,shortLongTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,treasuryStock,class,start_price,end_price,percentage_change,binary,sector,dilutedEPS,marketPricePerShare,PE_ratio,ROE,ROCE,grossProfitMargin,netProfitMargin,coverageRatio,currentRatio,quickRatio,debtToEquityRatio,totalAssetTurnover,ROA
MIKA.jk,1.45E+12,7.68E+11,1.26E+12,8.5E+11,1.91E+11,-14905279195,3.79E+11,6.14E+11,6.14E+11,6.59E+11,7.68E+11,-22483270302,5.16E+11,1.95E+12,82192920232,2.71E+12,96598517886,1.91E+12,8.31E+11,1.46E+11,79011716816,1.4E+11,1.3E+11,1.19E+11,39815270241,9818495546,1.4E+11,3.79E+11,3.57E+11,3.82E+12,3.56E+11,4557505682,76846414177,3.18E+11,31328809091,2.07E+12,2.32E+12,7894091194,1.18E+12,5.09E+12,2.42E+12,3.12E+11,6.39E+11,4.07E+12,-3.01E+11,FALSE,1729.495605,1504.947998,-0.129834159,0,healthcare,42,1815.307692,43.22161171,0.150859951,0.16073671,0.464944649,0.226568266,-51.52536829,7.756410256,7.58974359,0.004351987,0.532416503,0.120628684
MNCN.jk,2.64E+12,2.74E+12,4.8E+12,2.1E+12,4.98E+11,-3.53E+11,7.77E+11,1.53E+12,1.53E+12,1.61E+12,2.74E+12,2.85665E+11,1.62E+12,4.7E+12,-6.36E+11,7.44E+12,3.12E+11,2.6E+12,7.2E+11,1.43E+12,2.15E+11,3.42E+11,1.15E+12,1.25E+11,3.02E+12,3.18E+12,8.83E+11,7.77E+11,3.08E+12,8.59E+12,1.31E+12,2.41E+11,2.69E+11,3.03E+11,-3468000000,5.54E+12,8.67E+12,4.36E+11,1.4E+11,1.63E+13,7.34E+12,2.15E+12,5.7E+12,9.87E+12,-2.83E+12,FALSE,1235.065796,674.302063,-0.454035514,-1,consumer_cylicals,120.03,1111.326923,9.258743006,0.155015198,0.193639576,0.64516129,0.205645161,-7.76203966,3.413953488,1.83255814,0.366362715,0.456441718,0.093865031
MPMX.jk,1.48E+13,3.46E+11,1.13E+12,2.26E+11,1.79E+11,-4.59E+11,1.45E+11,3.66E+12,3.66E+12,46731000000,3.46E+11,-1.38E+11,9.18E+11,1.55E+13,-1.21E+11,1.59E+13,1.02E+12,1.48E+12,4.03E+12,2.23E+12,83154000000,1.4E+11,7.7E+11,52962000000,6.37E+11,9572000000,1.05E+12,1.45E+11,7.92E+11,7.8E+12,1.23E+12,75576000000,1.32E+12,3.38E+11,-10305000000,2.83E+12,5.16E+12,82496000000,2.69E+11,1.19E+13,6.01E+12,2.83E+12,3.17E+12,8.62E+12,-2.57E+11,FALSE,400.1704712,373.35495,-0.067010245,0,consumer_cylicals,871,925.3269231,1.062373046,0.424593968,0.03814774,0.071069182,0.230188679,-0.753812636,2.123674912,1.798939929,0.010680742,1.336134454,0.307563025
MTDL.jk,1.17E+13,5.78E+11,1.01E+12,5.79E+11,1.53E+11,-19190000000,7.96E+11,2.88E+11,2.88E+11,4.26E+11,5.78E+11,28806000000,3.75E+11,1.21E+13,1076000000,1.27E+13,1.48E+12,1.83E+11,6.81E+11,1.23E+11,24626000000,1.4E+11,1.4E+11,1.4E+11,1.33E+12,11111000000,76216000000,7.96E+11,1.91E+12,1.8E+12,1.9E+11,2.76E+11,2.37E+11,1.05E+11,1.7E+11,2.92E+11,1.33E+12,9215000000,1.4E+11,4.85E+12,4.29E+12,2.1E+12,2.25E+12,1.8E+12,1.7E+11,TRUE,118.3125763,159.3905334,0.347198569,1,technology,23.4,151.7692308,6.485864564,0.16,0.210181818,0.079527559,0.022677165,-30.11985409,2.042857143,1.30047619,0.011292222,2.618556701,0.059381443
MYOR.jk,1.77E+13,2.63E+12,6.38E+12,2.38E+12,6.22E+11,-4.93E+11,2E+11,1.72E+12,1.72E+12,1.76E+12,2.63E+12,2.85665E+11,3.67E+12,2.14E+13,-2.46E+11,2.41E+13,1.55E+12,330005500,2.5E+12,4.47E+11,89449452581,1.4E+11,1.4E+11,1.4E+11,3.35E+12,3.38E+12,1.4E+11,2E+11,6.08E+12,8.34E+12,6.86E+11,6.9E+11,1.35E+11,9.07E+11,-5711572628,4.26E+12,7.9E+12,1.13E+12,1.4E+11,1.76E+13,1.26E+13,4.76E+12,9.05E+12,8.34E+12,-5711572628,TRUE,1886.797241,2468.664307,0.308388762,1,consumer_noncylicals,77,2707.884615,35.16733266,0.206235012,0.20482866,0.26473029,0.071369295,-5.334685598,2.647058824,1.831932773,0.540767386,1.369318182,0.097727273
PGAS.jk,2602023129,633917577,1268243609,584904285,220265625,-150568328,627353311,304991574,304991574,364638660,633917577,-13881880,648207912,3236349161,-49013292,3870266738,213792906,1.76226E+12,1315234446,344018831,127295543,1.4E+11,55376,4494587,78508478,2735818692,381413453,627353311,905409799,2569987437,709640067,82955005,458684992,370828667,-528080802,4370060938,2758599371,77088965,63633805,7939273167,2473608746,1604524366,4737382456,2574537400,-528080802,TRUE,1413.142578,1740.426636,0.231600167,1,energy,0.01,2107.538462,210753.8462,0.118464612,0.100069884,0.327688941,0.078803761,-4.21016548,1.541646109,1.423648091,1.092587607,0.48748376,0.038415554
PNBN.jk,1.58E+11,0,9.34E+12,4.57E+12,1.39E+12,-3.87614E+11,3E+12,3.11E+12,3.11E+12,3.19E+12,4.45E+12,8.71E+11,4.02E+12,5.05E+12,1.27E+11,9.49E+12,1.38E+14,3.44E+12,6.25E+12,2.41E+12,1.27E+11,1.4E+11,1.4E+11,1.2E+11,1.15E+12,1.77E+13,1.13E+13,3E+12,6.85E+11,3.76E+13,1.5E+14,1.26E+13,3.01E+12,2.4E+12,7.33E+12,1.03E+13,2.46E+13,4.35E+12,1.36E+13,2.07E+14,3.6E+13,1.46E+14,1.66E+14,3.77E+13,7.33E+12,TRUE,1126.508911,1131.449707,0.004385936,0,financials,129.22,1031.615385,7.983403382,0.082493369,0,0.984193888,0.327713383,-403.5260867,0.246575342,0.140650685,0.584880637,0.045845411,0.015024155
PNLF.jk,3.45E+12,6.41E+11,9.31E+11,2.12E+12,1.27E+11,-3.87614E+11,1.98E+12,1.83E+12,1.83E+12,1.99E+12,6.41E+11,2.85665E+11,2.9E+11,3.74E+12,1.48E+12,4.38E+12,3.35E+12,1.4E+11,3.79E+12,4E+12,1.4E+11,4683000000,1.4E+11,2.67E+11,1.4E+11,1.4E+11,2.01E+13,1.98E+12,35648000000,2.15E+13,2.02E+11,1.64E+11,28130000000,1.02E+12,4.14E+12,1.63E+11,1.36E+13,1.4E+11,6.62216E+11,2.83E+13,7.54E+12,3.46E+12,4.48E+12,2.18E+13,4.14E+12,TRUE,242.2325592,261.7674255,0.080645089,1,financials,57.13,245.2269231,4.292436953,0.083944954,0.025805153,0.212557078,0.417808219,-403.5260867,2.179190751,168.7540784,0.012844037,0.154770318,0.064664311
POWR.jk,359130908,155831074,214976150,127908316,49014935,-26748439,1.6851E+12,78893381,78893381,78893381,155831074,2427122,56717954,418275984,-27922758,574107058,34113671,148162625,156399591,282002166,24923225,1.4E+11,1.4E+11,1.4E+11,43453923,538783622,1.4E+11,1.4E+11,70838555,640446654,59449294,4080762,17467255,66611056,-268329,901075458,211620180,1.4E+11,71526674,1308996128,348471376,63154796,668549474,640446654,-1338317,FALSE,861.5494995,630.9321899,-0.267677376,-1,infrastructures,0,1058.826923,9343.202772,0.123184937,0.125080995,0.374453069,0.137419284,-5.825800676,5.517734172,4.730675086,219.4387038,0.438585757,0.060270141
PPRE.jk,2.31E+12,6.5E+11,7.43E+11,5.21E+11,88853235591,-1.67E+11,5.54E+11,3.26E+11,3.26E+11,4.32E+11,6.5E+11,2.85665E+11,83031349635,2.4E+12,-1.29E+11,3.05E+12,1.14E+12,7.5E+11,6.31E+11,1.02E+12,1.4E+11,1.4E+11,2.47E+11,3385009200,1.68E+11,1.36E+12,4.71266E+12,5.54E+11,1.97E+12,2.03E+12,1.4E+11,3.01E+11,1.57E+11,9415744699,21972445128,2.89E+12,4.88E+11,1.18318E+12,1.4E+11,6.26E+12,3.12E+12,1.74E+12,3.42E+12,2.28E+12,21972445128,FALSE,381.7976379,296.1800842,-0.224248516,-1,infrastructures,32,385.1923077,12.03725962,0.142982456,0.14380531,0.243606557,0.106885246,-3.892215569,1.793103448,1.575287356,3.22391249,0.487220447,0.052076677
