Unnamed: 0,costOfRevenue,ebit,grossProfit,incomeBeforeTax,incomeTaxExpense,interestExpense,minorityInterest,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,operatingIncome,otherOperatingExpenses,researchDevelopment,sellingGeneralAdministrative,totalOperatingExpenses,totalOtherIncomeExpenseNet,totalRevenue,accountsPayable,capitalSurplus,cash,commonStock,deferredLongTermAssetCharges,deferredLongTermLiab,goodWill,intangibleAssets,inventory,longTermDebt,longTermInvestments,minorityInterest.1,netReceivables,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiab,otherLiab,otherStockholderEquity,propertyPlantEquipment,retainedEarnings,shortLongTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,treasuryStock,class,start_price,end_price,percentage_change,binary,sector,dilutedEPS,marketPricePerShare,PE_ratio,ROE,ROCE,grossProfitMargin,netProfitMargin,coverageRatio,currentRatio,quickRatio,debtToEquityRatio,totalAssetTurnover,ROA
AALI.JK,1.58E+13,1.86E+12,2.96E+12,1.46E+12,5.69E+11,3.93E+11,4.95E+11,8.33E+11,8.33E+11,8.94E+11,1.85E+12,1.08E+11,11443000000,6.22E+11,1.11E+12,-4.14E+11,1.88E+13,7.7E+11,3.88E+12,9.79E+11,9.62E+11,7.23E+11,1.4E+11,55951000000,1.4E+11,2.51E+12,5.86E+12,2.56E+11,4.95E+11,1.39E+12,1.87E+13,3.79E+12,1.06E+12,7.63E+11,8.83E+11,-5.86E+11,1.77E+13,1.43E+13,1.70044E+12,1.4E+11,2.78E+13,5.94E+12,1.79E+12,8.53E+12,1.88E+13,-5.86E+11,FALSE,13509.6825,11556.51367,-0.14457548,-1,consumer_noncylicals,432.84,9609.979339,22.20215169,0.044308511,0.071510957,0.157446809,0.044308511,4.732824427,3.318435754,1.401675978,3.081359979,0.676258993,0.029964029
ACES.JK,3.75E+12,1.01E+12,3.66E+12,9.23E+11,1.92E+11,82473589167,14772408978,7.33E+11,7.33E+11,7.31E+11,8.52E+11,2.08E+11,44406730922,5.21E+11,2.81E+12,-67767219877,7.41E+12,1.64E+11,4.41E+11,2.22E+12,1.72E+11,1.49E+11,1.4E+11,1.4E+11,3597685357,2.63E+12,1.4E+11,1.4E+11,14772408978,1.43E+11,5.2E+12,5.81E+11,29744703904,2.1E+11,6.03E+11,239797199,1.48E+12,4.15E+12,1.4E+11,2036464054,7.25E+12,5.03E+12,8.45E+11,2.02E+12,5.21E+12,-33945075301,TRUE,1414.102436,1634.88916,0.156132059,1,consumer_cylicals,42.86,1538.016529,35.88466003,0.140690979,0.157689305,0.493927126,0.098920378,12.24634468,5.952662722,2.798859721,0.053742802,1.022068966,0.101103448
ADRO.JK,1958113000,311590000,576729000,222165000,63660000,89425000,239634000,146927000,146927000,158505000,409716000,10039000,44406730922,82385000,167013000,-147025000,2534842000,236726000,1154494000,1173703000,342940000,25136000,1.4E+11,776943000,1.4E+11,105134000,788612000,690569000,239634000,268125000,2935137000,273505000,31848000,76260000,419459000,-908000,2908930000,2347061000,596005000,2.86385E+12,6381566000,1731619000,1144923000,2429852000,3712080000,-132415000,TRUE,1126.589821,1126.141968,-0.00039753,0,energy,0.00428,1163.326446,271805.2444,0.039580774,0.05950186,0.22752069,0.057962982,3.484372379,1.512432714,160.2611603,0.373003006,0.397213161,0.023023659
AKRA.JK,1.57E+13,1.27E+12,2.05E+12,1.19E+12,2.3E+11,74283971000,1.8E+12,9.25E+11,9.25E+11,9.62E+11,1.21E+12,92251835000,44406730922,2.08E+11,8.43E+11,34446255000,1.77E+13,3.01E+12,1.29E+12,1.55E+12,4.01E+11,2.44E+11,1.4E+11,1.52304E+12,1.4E+11,3.63E+12,2.66E+12,5.48E+11,1.8E+12,2.67E+12,8.12E+12,4.5E+12,1.23E+11,3.73E+11,1.86E+11,69002221000,4.96E+12,6.93E+12,3.67E+11,2.86385E+12,1.87E+13,8.04E+12,5.1E+12,8.13E+12,8.75E+12,1.33E+11,FALSE,704.0994184,589.125,-0.163292875,-1,energy,46.71,539.5371901,11.55078549,0.105714286,0.093382353,0.115819209,0.052259887,17.09655506,1.576470588,160.2611603,0.345942857,0.946524064,0.049465241
ANTM.JK,2.29E+13,2.04E+12,4.48E+12,1.64E+12,4.92E+11,3.98E+11,20744000,1.15E+12,1.15E+12,1.15E+12,2.03E+12,2.58E+11,44406730922,1.03E+12,2.44E+12,-6.52E+11,2.74E+13,6.73E+11,3.93E+12,3.93E+12,2.4E+12,1.73E+11,1.63598E+11,68336044000,46926785000,2.63E+12,3.39E+12,1.07E+12,20744000,1.81E+12,1.89E+13,1.75E+12,7.18E+11,1.26E+12,1.66E+12,3.62425E+11,1.96E+13,8.31E+12,3.13E+12,1.4E+11,3.17E+13,9.15E+12,7.55E+12,1.27E+13,1.9E+13,3.92E+12,TRUE,822.08634,1891.272217,1.300576137,1,basic_materials,47.83,791.9917355,16.55847241,0.060526316,0.08447205,0.16350365,0.041970803,5.125628141,1.21192053,0.778807947,0.343157895,0.864353312,0.036277603
APIC.JK,2E+12,2.45E+11,2.85E+11,1.32E+11,7185626138,1.13E+11,71883115235,1.21E+11,1.21E+11,1.25E+11,2.08E+11,17535807930,44406730922,37945628991,76687938956,31872114281,2.28E+12,4.65E+11,43471495814,3.21E+11,1.22E+12,11390020805,1.4E+11,1.4E+11,342578859,1.4E+11,1.4E+11,5.73E+11,71883115235,1.61E+12,1.89E+12,1.32E+11,1.31E+11,12763284091,1.42E+12,3.62425E+11,1.9E+11,6.19E+11,2.67E+11,1.4E+11,4.88E+12,3.99E+12,1.49E+12,2.92E+12,1.89E+12,8028671227,TRUE,690,785,0.137681159,1,financials,8.65,808.5743802,93.47680696,0.064021164,0.072271386,0.125,0.053070175,2.168141593,2.677852349,1.389932886,0.215343915,0.467213115,0.024795082
APLN.JK,2.76E+12,9.57E+11,2.2E+12,2.07E+11,26867553000,7.5E+11,2.81E+12,-1.37E+11,-1.37E+11,1.8E+11,1.25E+12,65712328000,44406730922,3.89E+11,9.47E+11,-8.6E+11,4.96E+12,7.93E+11,1.5E+12,8.45E+11,2.27E+12,63725768000,17505146000,30334910000,1.4E+11,7.36E+12,9.17E+12,8.73E+11,2.81E+12,1.37E+12,8.51E+12,1.38E+13,1.86E+12,4.33E+12,3.71E+12,14219809000,3.98E+12,4.76E+12,4.2E+11,1.4E+11,3.04E+13,1.17E+13,6.16E+12,1.9E+13,8.54E+12,-91631223000,TRUE,177,188,0.062146893,0,properties_realestate,-6.17,125.8760331,-20.40130196,-0.016042155,0.039480198,0.443548387,-0.027620968,1.276,1.899350649,0.382305195,1.12295082,0.163157895,-0.004506579
ASII.JK,1.36E+14,2.51E+13,3.86E+13,2.17E+13,3.17E+12,3.41E+12,3.98E+13,1.62E+13,1.62E+13,1.86E+13,1.29E+13,3.39133E+11,44406730922,2.57E+13,2.56E+13,7.42E+12,1.75E+14,1.65E+13,1.14E+12,4.76E+13,2.02E+12,4.8E+12,1.4E+11,4.84E+12,1.02E+13,1.79E+13,4.16E+13,4.54E+13,3.98E+13,2.19E+13,1.41E+14,3.37E+13,6.61E+12,2.07E+13,1.47E+13,3.62425E+11,7.22E+13,1.49E+14,2.98E+13,2.86385E+12,3.38E+14,1.32E+14,8.57E+13,1.43E+14,1.56E+14,3.43E+12,FALSE,6258.746143,5654.909668,-0.096478825,0,industrials,399,5181.900826,12.98722012,0.103846154,0.09948474,0.220571429,0.092571429,7.360703812,1.540256709,160.2611603,0.457692308,0.517751479,0.047928994
ASSA.JK,2.25E+12,3.18E+11,7.9E+11,68495021017,4598599037,2.49E+11,1.56E+11,87147720192,87147720192,63896421980,3.15E+11,18982946149,44406730922,1.53E+11,4.76E+11,-2.42E+11,3.04E+12,95022410302,3.75E+11,1.92E+11,3.4E+11,44821273531,1.4E+11,32649457327,1.03E+11,5668136643,2.08E+12,36356429433,1.56E+11,3.95E+11,1.15E+12,3.73E+12,3700024580,1.89E+11,2.08E+11,3.62425E+11,4.25E+12,5.61E+11,7.34E+11,1.4E+11,5.17E+12,6.28E+11,1.44E+12,3.73E+12,1.28E+12,1.4E+11,FALSE,740,635,-0.141891892,-1,transportation_logistic,25.65,487.8842975,19.02083031,0.068084156,0.085254692,0.259868421,0.028667013,1.277108434,0.436111111,0.504861111,2.1984375,0.588007737,0.016856426
BBCA.JK,1.44E+12,0,7.53E+13,3.36E+13,6.42E+12,9.41E+12,1.18E+11,2.71E+13,2.71E+13,2.71E+13,3.36E+13,3.81E+12,44406730922,9.12E+12,3.15E+13,-16346000000,7.67E+13,4.34E+12,5.55E+12,1.11E+14,1.54E+12,4.88E+12,1.63598E+11,1.16E+12,4.71E+11,1.53E+12,1.11E+12,1.93E+14,1.18E+11,4.07E+11,1.83E+14,5.82E+14,4.11E+13,1.49E+13,2.71E+13,1385000000,2.19E+13,1.58E+14,1.14E+12,1.52E+14,1.08E+15,2.77E+14,8.62E+14,8.91E+14,1.85E+14,1.7E+13,TRUE,6202.977271,6400.228027,0.031799368,0,financials,220,6018.57438,27.35715627,0.146486486,0,0.981747066,0.353324641,0,0.321345708,0.305576566,0.012162162,0.071018519,0.025092593
BBNI.JK,6.47E+11,0,5.37E+13,5.11E+12,1.79E+12,1.81E+13,2.68E+12,3.28E+12,3.28E+12,3.32E+12,4.88E+12,3.27E+12,44406730922,6.61E+12,2.81E+13,2.3E+11,5.43E+13,4.23E+11,1.46E+13,1.3E+14,9.05E+12,4.8E+12,2.96E+11,1.4E+11,1.4E+11,1.87E+12,4.49E+13,1.21E+14,2.68E+12,3.87E+12,1.1E+14,5.71E+14,5.91E+13,1.71E+13,2.32E+13,2.26E+12,2.74E+13,6.42E+13,24136000000,1.16E+13,8.91E+14,1.73E+14,7.09E+14,7.78E+14,1.1E+14,1.96E+13,FALSE,7140.162876,5768.13623,-0.192156211,-1,financials,176,5298.347107,30.10424493,0.029818182,0,0.988950276,0.060405157,0,0.244005642,0.205176305,0.408401236,0.060942761,0.003681257
BBRI.JK,1.37E+12,0,1.05E+14,2.67E+13,8.06E+12,3.62E+13,2.53E+12,1.87E+13,1.87E+13,1.87E+13,2.27E+13,6.37E+12,44406730922,1.31E+13,5.53E+13,7.25E+12,1.06E+14,1.55E+12,3.41E+12,1.59E+14,6.17E+12,0,0,0,0,0,0,0,0,0,1.97E+14,0,0,0,0,72894000000,3.22E+13,1.64E+14,0,0,1.51E+15,0,0,1.31E+15,1.97E+14,0,FALSE,3764.170896,3693.470703,-0.018782408,0,financials,151,3521.487603,23.32110995,0.094923858,0,0.990566038,0.176415094,0,2.165669585,160.2611603,0,0.070198675,0.012384106
