Unnamed: 0,costOfRevenue,ebit,grossProfit,incomeBeforeTax,incomeTaxExpense,interestExpense,minorityInterest,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,operatingIncome,otherOperatingExpenses,researchDevelopment,sellingGeneralAdministrative,totalOperatingExpenses,totalRevenue,accountsPayable,capitalSurplus,cash,commonStock,deferredLongTermAssetCharges,deferredLongTermLiab,goodWill,intangibleAssets,inventory,longTermDebt,longTermInvestments,minorityInterest.1,netReceivables,netTangibleAssets,otherCurrentAssets,otherCurrentLiab,otherStockholderEquity,propertyPlantEquipment,retainedEarnings,shortLongTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,treasuryStock,start_price,end_price,percentage_change,binary,sector,dilutedEPS,marketPricePerShare,PE_ratio,ROE,ROCE,grossProfitMargin,netProfitMargin,coverageRatio,currentRatio,quickRatio,debtToEquityRatio,totalAssetTurnover,ROA
MDKA.JK,555317520,153808288,190503156,120832448,35712636,32975840,1.53174E+12,84265859,84265859,85119812,145456228,4.39838E+11,42135602046,26477170,45046928,745820676,1.74568E+12,3.06895E+12,1.45519E+13,1.94657E+12,2.0172E+11,4.44527E+11,6.32205E+11,3.23749E+12,3.76203E+12,5.004E+12,1.93645E+12,1.53174E+12,8.42E+11,2.03863E+13,1.47951E+11,2.00298E+11,6.22499E+11,1.0134E+13,1.51991E+13,2.26504E+12,5.92581E+11,1.13637E+14,9.59431E+12,6.51116E+12,8.9552E+13,2.26819E+13,3.22181E+11,3890,4120,0.059125964,0,basic_materials,139.2172174,4248.217043,-21322.37611,0.16700253,0.158222016,0.255427561,0.112984075,4.664272025,2.382038512,1375.469496,0.798753574,0.657592183,0.064947536
MEDC.JK,1080326939,1109648361,1094771980,855167485,447227224,254480876,190259315,391824951,391824951,407940261,898557400,12326269,42135602046,66653338,196214580,2175098919,207381394,491004564,599998594,121798946,39306082,4.44527E+11,39066445,3.23749E+12,106080107,2715177185,1410860681,190259315,0,1518193565,1.47951E+11,2.00298E+11,-66114167,3100331440,974690077,435985849,10970184,6931905826,1751396299,1379314476,5184386501,1557260010,537814,440.8994751,1015,1.302112063,1,energy,139.2172174,748.0650407,-21322.37611,0.251611772,0.199843333,0.503320548,0.18014121,4.360439096,1.269758514,0.442951037,2.02353044,0.313780795,0.056524852
MIKA.JK,1.97E+12,1.4E+12,2.08E+12,1.39E+12,2.92E+11,12875424890,7.08E+11,1.01E+12,1.01E+12,1.09E+12,1.31E+12,54420340726,42135602046,3.36E+11,7.7E+11,4.05E+12,1.92E+11,1.36E+12,6.96E+11,1.42E+11,26056650076,4.44527E+11,1.82E+11,2.63858E+11,62519459780,5.004E+12,1.93645E+12,7.08E+11,648782258,4.98E+12,1243951059,2.00298E+11,3005609081,3.77E+12,4.62E+12,2.26504E+12,1.26E+12,6.92E+12,2.49E+12,6.53E+11,7.86E+11,5.42E+12,7.6E+11,2230.942808,3190,0.42988874,1,healthcare,139.2172174,2601.260163,-21322.37611,0.186346863,0.223392373,0.513580247,0.249382716,108.7342757,3.813169985,2.99639936,0.798753574,0.585260116,0.145953757
MNCN.JK,4E+12,2.9E+12,5.07E+12,2.78E+12,5.38E+11,1.18E+11,7.97E+11,2.06E+12,2.06E+12,2.24E+12,2.92E+12,4.39838E+11,42135602046,8.9E+11,2.15E+12,9.07E+12,62270000000,3.19E+12,1.31E+12,1.5E+12,2.29E+11,4.44527E+11,1.15E+12,1.84588E+12,3.69E+12,2.68E+11,1.86E+11,7.97E+11,4.67E+11,1.61E+13,1.47951E+11,2.00298E+11,6.5E+11,7.25E+12,1.68E+13,1.87E+12,1.53E+11,2.24E+13,9.71E+12,2.06E+12,2.51E+12,1.91E+13,2.97E+12,900,740,-0.177777778,-1,consumer_cylicals,155.47,889.3495935,5.720393603,0.107853403,0.142576205,0.558985667,0.227122381,24.57627119,4.713592233,0.936893204,0.111937173,0.404910714,0.091964286
MPMX.JK,1.17E+13,6.89E+11,1.09E+12,6.88E+11,1.19E+11,1729000000,50000000,6.62E+11,6.62E+11,5.69E+11,3.07E+11,2.49E+11,42135602046,1.52E+11,7.8E+11,1.27E+13,9.41E+11,1.5E+12,2E+12,2.23E+12,48546000000,4.44527E+11,0,93078000000,3.69E+11,0,1.87E+12,50000000,3.52E+12,6.09E+12,1.47951E+11,4.75E+11,-4.35E+11,8.45E+11,2.86E+12,7248000000,7.91E+11,8.89E+12,3.65E+12,1.94E+12,2.7E+12,6.19E+12,1.01E+11,963.3871143,1120,0.162564854,0,consumer_cylicals,139.2172174,1068.414634,-21322.37611,0.106946688,0.099136691,0.085826772,0.052125984,398.4962406,1.881443299,3.253092784,0.001170921,1.428571429,0.074465692
MTDL.JK,1.93E+13,1.15E+12,1.73E+12,1.14E+12,2.72E+11,12917000000,1.19E+12,5.8E+11,5.8E+11,8.67E+11,1.12E+12,4.39838E+11,42135602046,6.05E+11,6.05E+11,2.1E+13,2.06E+12,1.83E+11,1.38E+12,1.23E+11,17987000000,4.44527E+11,6.32205E+11,3.23749E+12,3.19E+12,5.004E+12,72395000000,1.19E+12,3.73E+11,3.22E+12,22766000000,7524000000,6.22499E+11,2.91E+11,2.7E+12,2.26504E+12,5.92581E+11,8.58E+12,7.9E+12,4.03E+12,4.17E+12,3.22E+12,3.22181E+11,752.6422742,580,-0.22938158,-1,technology,47,643.1707317,13.68448365,0.180124224,0.252747253,0.082380952,0.027619048,89.02996052,1.960297767,1375.469496,0.798753574,2.447552448,0.067599068
MYOR.JK,2.38E+13,2.9E+12,6.84E+12,2.51E+12,5.36E+11,3.89E+11,2.06E+11,1.29E+12,1.94E+12,1.97E+12,2.47E+12,53683795608,63309528721,3.64E+12,4.37E+12,3.07E+13,1.66E+12,330005500,3.26E+12,4.47E+11,32707246426,4.44527E+11,6.32205E+11,3.23749E+12,3.87E+12,2.81E+12,1.93645E+12,2.06E+11,2.85E+12,1.26E+13,1.47951E+11,2.00298E+11,6.22499E+11,7.43E+12,1.21E+13,2.63E+12,75798942564,2.23E+13,1.48E+13,5.64E+12,9.44E+12,1.26E+13,3.22181E+11,2018.253816,2500,0.238694549,1,consumer_noncylicals,87,2639.430894,30.33828614,0.102380952,0.174069628,0.222801303,0.042019544,7.455012853,2.624113475,1.096772862,0.431746032,1.376681614,0.057847534
PGAS.JK,2669020500,705162718,754376453,574247670,173336810,130915048,1.53174E+12,328134939,328134939,400910860,616739909,1262243,42135602046,58061777,137636544,3423396953,1.74568E+12,3.06895E+12,1.45519E+13,1.94657E+12,2.0172E+11,4.44527E+11,6.32205E+11,3.23749E+12,3.76203E+12,5.004E+12,1.93645E+12,1.53174E+12,6.6E+12,2.03863E+13,1.47951E+11,2.00298E+11,6.22499E+11,1.0134E+13,1.51991E+13,2.26504E+12,5.92581E+11,1.13637E+14,9.59431E+12,6.51116E+12,8.9552E+13,2.26819E+13,3.22181E+11,1278.61836,1760,0.376485787,1,energy,139.2172174,1633.719512,-21322.37611,0.16700253,0.158222016,0.220359036,0.095850684,5.38641454,2.382038512,1375.469496,0.798753574,0.657592183,0.064947536
PNBN.JK,1.50087E+13,3.33262E+12,6.19728E+12,4.09E+12,8.16E+11,3.96E+12,3.32E+12,3.04E+12,3.04E+12,3.27E+12,3.1648E+12,4.66E+11,42135602046,1.21E+12,5.08E+12,1.12E+13,2.24E+11,3.44E+12,1.74E+13,2.41E+12,2.0172E+11,4.44527E+11,6.32205E+11,4.25974E+11,3.76203E+12,5.004E+12,7.91E+11,3.32E+12,0,4.7E+13,1.47951E+11,2.00298E+11,-2.69E+11,1.02E+13,3.41E+13,2.26504E+12,5.92581E+11,2.12E+14,9.59431E+12,6.51116E+12,1.62E+14,4.74E+13,610000000,765.8283691,1540,1.010894428,1,financials,139.2172174,1516.239837,-21322.37611,0.064135021,0.158222016,0.321262889,0.271428571,81.90807551,2.382038512,1375.469496,0.798753574,0.052830189,0.014339623
PNLF.JK,1.50087E+13,3.33262E+12,6.19728E+12,1.97E+12,-17988000000,1.47469E+12,1.87E+12,1.8E+12,1.8E+12,1.98E+12,3.1648E+12,50631000000,42135602046,1.37E+11,5.41727E+12,2.72E+12,1.62E+11,-5.84E+11,3.58E+12,4E+12,32803000000,4.44527E+11,6.32205E+11,1.97128E+11,3.76203E+12,5.004E+12,2.16E+13,1.87E+12,0,2.76E+13,1.47951E+11,2.00298E+11,1.66E+12,2.02E+11,1.94E+13,2.26504E+12,2.48E+12,3.39E+13,9.59431E+12,6.51116E+12,4.19E+12,2.78E+13,3.22181E+11,168.0000055,358,1.130952311,1,financials,56.16,350.0813008,6.233641396,0.064748201,0.158222016,0.321262889,0.661764706,81.90807551,2.382038512,1375.469496,0.798753574,0.080235988,0.053097345
POWR.JK,277032622,138767560,273418248,111300660,38764966,27466900,1.53174E+12,72535694,72535694,72535694,144336088,10074500,42135602046,11806369,129082160,550450870,33482791,147628171,305083705,282002166,0,4.44527E+11,6.32205E+11,73734122,63427420,544045453,1.93645E+12,1.53174E+12,3.72E+11,626026843,1.47951E+11,2.00298E+11,6.22499E+11,709358018,291800891,2.26504E+12,111132647,1361618473,542054110,54751246,661857508,699760965,18775590,564.2655555,660,0.169662039,0,infrastructures,0.0046,670.1829268,145691.9406,0.103657817,0.106183365,0.496716897,0.131775056,5.052174071,9.900306378,6801.967874,0.798753574,0.404262193,0.053271673
