Unnamed: 0,costOfRevenue,ebit,grossProfit,incomeBeforeTax,incomeTaxExpense,interestExpense,minorityInterest,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,operatingIncome,otherOperatingExpenses,researchDevelopment,sellingGeneralAdministrative,totalOperatingExpenses,totalOtherIncomeExpenseNet,totalRevenue,accountsPayable,capitalSurplus,cash,commonStock,deferredLongTermAssetCharges,deferredLongTermLiab,goodWill,intangibleAssets,inventory,longTermDebt,longTermInvestments,minorityInterest.1,netReceivables,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiab,otherLiab,otherStockholderEquity,propertyPlantEquipment,retainedEarnings,shortLongTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,treasuryStock,class,start_price,end_price,percentage_change,binary,sector,dilutedEPS,marketPricePerShare,PE_ratio,ROE,ROCE,grossProfitMargin,netProfitMargin,coverageRatio,currentRatio,quickRatio,debtToEquityRatio,totalAssetTurnover,ROA
KAEF.JK,5.9E+12,5.36E+11,3.5E+12,38315488000,22425049000,4.98E+11,1.71E+11,-12724002000,-12724002000,15890439000,4.1E+11,1.83E+11,15323732000,1.43E+12,3.21E+12,-3.72E+11,9.4E+12,1.29E+12,-8.85E+11,1.36E+12,5.55E+11,29253379000,2.56E+11,1.34E+11,4.98E+11,2.85E+12,2.5E+12,1.84E+11,-28614441000,2.33E+12,7.03E+12,1.36E+12,1000,1.5538E+12,1.02E+12,4.11629E+11,9.28E+12,-12724002000,5.37E+11,1.4E+11,1.84E+13,7.34E+12,7.39E+12,1.09E+13,7.24E+12,4.23E+12,FALSE,2558.173584,1235.712158,-0.516955313,-1,healthcare,-2.29,2907.918288,-1269.833314,-0.001757459,0.048683015,0.372340426,-0.001353617,1.076305221,0.9932341,0.51826793,0.419475138,0.510869565,-0.000691522
KLBF.JK,1.24E+13,3.43E+12,1.02E+13,3.4E+12,8.65E+11,31055146298,8.12E+11,2.51E+12,2.51E+12,2.54E+12,3.34E+12,4.33E+11,5.43E+11,3.6E+12,6.94E+12,98129574085,2.26E+13,1.22E+12,-34118673814,3.04E+12,4.69E+11,1.23E+11,1.97065E+11,2.93E+11,31055146298,3.74E+12,6.48E+11,91063717060,-30837251570,3.7E+12,1.52E+13,6.22E+11,55162939762,1.5538E+12,3.34E+11,52932836056,7.98E+12,1.51E+13,19424285946,1.96E+11,2.03E+13,1.12E+13,2.58E+12,3.56E+12,1.59E+13,63254659112,TRUE,1406.464966,1527.258057,0.08588418,0,healthcare,53.48,1536.918605,28.73819381,0.157861635,0.193566591,0.451327434,0.111061947,110.4486827,4.341085271,2.688372093,0.04197637,1.113300493,0.12364532
LINK.JK,7.48E+11,1.3E+12,3.01E+12,1.24E+12,3.46E+11,59241000000,2000000,8.95E+11,8.95E+11,8.95E+11,1.41E+12,11231000000,55910386875,2.07E+11,1.51E+12,-1.65E+11,3.76E+12,6.11E+11,1.34E+12,2.98E+11,2.86E+11,69229000000,1.4E+11,7345000000,59241000000,2.95438E+12,4E+11,1.4E+11,0,5.13E+11,4.55E+12,2.61E+11,2.65065E+12,1.5538E+12,1.63E+11,4.11629E+11,5.39E+12,3.13E+12,1.44226E+12,1.4E+11,6.65E+12,8.99E+11,1.41E+12,2E+12,4.66E+12,-1.05E+11,FALSE,3987.918457,3407.936768,-0.145434691,-1,infrastructures,311,4253.190661,13.67585422,0.192060086,0.248091603,0.800531915,0.238031915,21.94426158,0.637588652,0.674468085,3.457979056,0.565413534,0.134586466
LPKR.JK,7.72E+12,-7.71E+11,4.45E+12,-1.67E+12,3.96E+11,8.94E+11,5.6E+12,-1.98E+12,-1.98E+12,-2.06E+12,-1.44E+12,1.69E+11,55910386875,1.22E+12,4.23E+12,-2.2E+11,1.22E+13,1.2E+12,1.05E+13,4.69E+12,7.09E+12,1.07E+11,1.97065E+11,6.67E+11,8.94E+11,2.75E+13,1.13E+13,8.01E+12,78119000000,2.32E+12,2.8E+13,3.74E+12,2.65065E+12,1.56E+11,2.4E+12,7.76E+12,5.37E+12,3E+12,94259000000,3.46E+11,5.51E+13,3.72E+13,6.88E+12,2.07E+13,2.88E+13,8.15E+12,TRUE,201.5661926,242,0.20059816,0,properties_realestate,-43.84,245.2820322,-5.594936866,-0.06875,-0.015989216,0.364754098,-0.162295082,-0.862416107,5.406976744,1.069186047,0.395633993,0.221415608,-0.035934664
LPPF.JK,4.12E+12,1.82E+12,6.16E+12,1.76E+12,3.96E+11,56958000000,0,1.37E+12,1.37E+12,1.37E+12,1.8E+12,6.91E+11,55910386875,5.01E+11,4.34E+12,-35143000000,1.03E+13,1.47E+12,-3.59E+12,1.17E+12,3.25E+11,27088000000,1.4E+11,6.52784E+11,56958000000,1.1E+12,5.84044E+12,5.32163E+12,-2.13705E+11,1.33E+11,1.75E+12,6.51E+11,1.09E+11,1.5538E+12,4.88E+11,4.11629E+11,1.48E+12,5.26E+12,1.4E+11,1.4E+11,4.83E+12,2.75E+12,2.6E+12,3.09E+12,1.75E+12,-3.95E+12,FALSE,4805.686523,3937.598145,-0.180637745,-1,consumer_cylicals,492,4075.77821,8.284102053,0.782857143,0.816143498,0.598058252,0.133009709,31.95336915,1.057692308,0.555,3.457979056,2.132505176,0.283643892
LSIP.JK,3.14E+12,3.53E+11,5.62E+11,3.53E+11,1E+11,597000000,2622000000,2.54E+11,2.54E+11,2.53E+11,3.18E+11,-59980000000,55910386875,1.1E+11,2.44E+11,34732000000,3.7E+12,2.35E+11,1.03E+12,1.13E+12,6.82E+11,1072000000,26353000000,6.52784E+11,597000000,5.25E+11,5.84044E+12,1.29E+12,1272000000,4.69E+11,8.5E+12,4.33E+11,1.83E+11,40000000000,1.26E+12,11248000000,6.31E+12,6.7E+12,1.4E+11,1.4E+11,1.02E+13,2.19E+12,4.67E+11,1.73E+12,8.5E+12,8127000000,TRUE,1140.438477,1378.010864,0.208316707,1,consumer_noncylicals,37,1229.2607,33.22326216,0.029882353,0.036268365,0.151891892,0.068648649,591.2897822,4.689507495,3.723768737,3.457979056,0.362745098,0.024901961
MAIN.JK,6.55E+12,4.3E+11,9.02E+11,2.49E+11,96351729000,1.81E+11,-1774459000,1.52E+11,1.52E+11,1.52E+11,4.52E+11,-1393914000,55910386875,2.22E+11,4.89E+11,-2.03E+11,7.45E+12,2.46E+11,7.62E+11,1.2E+11,44775000000,1.91E+11,1.4E+11,6.52784E+11,1.81E+11,1.29E+12,7.06E+11,1.4E+11,63123000,4.87E+11,1.5E+12,3.52E+11,5.22E+11,41480598000,1.23E+11,4.11629E+11,1.75E+12,1.21E+12,3.71E+11,1.4E+11,4.65E+12,2.01E+12,1.7E+12,2.62E+12,2.03E+12,1.4E+11,FALSE,1367.099976,1005,-0.264867224,-1,consumer_noncylicals,68,1194.319066,17.56351568,0.074876847,0.145762712,0.121073826,0.020402685,2.375690608,1.182352941,0.439411765,0.530541872,1.602150538,0.032688172
MAPI.JK,1.13E+13,1.81E+12,1.03E+13,1.63E+12,4.62E+11,1.84E+11,1.2E+12,9.33E+11,9.33E+11,1.16E+12,1.97E+12,3.29E+11,55910386875,2E+12,8.33E+12,-3.09E+11,2.16E+13,1.76E+12,-4897000000,1.82E+12,8.3E+11,1.88E+11,1.4E+11,6.52784E+11,1.84E+11,3.62E+12,0,4.47E+11,-2.3E+11,5.96E+11,6.17E+12,8.33E+11,8.25E+11,8286000000,8.93E+11,1.75E+12,3.81E+12,3.58E+12,4.01E+11,4.54E+11,1.39E+13,8.16E+12,5.67E+12,6.57E+12,6.17E+12,1.7E+12,TRUE,794.8101196,1055,0.327361056,1,consumer_cylicals,56,988.2879377,17.64799889,0.151215559,0.219927096,0.476851852,0.043194444,9.836956522,1.439153439,0.50617284,0.064991896,1.553956835,0.067122302
MDKA.JK,246595679,128082730,155443709,108471334,39217681,19611396,31295419,70827123,70827123,69253653,133002258,3027463,55910386875,5893921,20126571,-24530924,402039388,33306306,286506032,49592601,34690620,17804346,1.4E+11,6.52784E+11,19611396,96236666,98400800,5.32163E+12,1573470,47230018,492948897,99661166,11700359,51891399,39956225,27059323,646832353,150026401,150608410,1.4E+11,951253163,204759644,254068583,427008847,492948897,19725844,TRUE,700,1070,0.528571429,1,basic_materials,0.003219,930.5968992,289095.0293,0.143680457,0.183714232,0.38663801,0.176169612,6.531035832,0.805922722,551.4134056,0.505142037,0.422641841,0.074456649
MEDC.JK,846558388,430480697,591732465,179146124,199373250,251334573,159788640,-27347601,-27347601,-20227126,348574812,12041072,55910386875,62335805,194085686,-191713298,1438290853,151107326,384467138,456216294,109605245,81231756,1.4E+11,67024515,251334573,96205717,3058945181,908928605,-13814552,526629715,1128739814,1145996415,572576372,278465614,888168788,-10012149,2163098469,673215400,136068696,5661258,6006538390,1694682717,705581042,4650292093,1196457657,22677664,TRUE,546.3141479,689.8712158,0.262773843,1,energy,-0.001304,678.4463319,-520280.9294,-0.022857141,0.081208104,0.411413633,-0.019013957,1.712779471,2.401825752,1.400983315,2.670394442,0.239454201,-0.004552972
