Unnamed: 0,costOfRevenue,ebit,grossProfit,incomeBeforeTax,incomeTaxExpense,interestExpense,minorityInterest,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,operatingIncome,otherOperatingExpenses,researchDevelopment,sellingGeneralAdministrative,totalOperatingExpenses,totalRevenue,accountsPayable,capitalSurplus,cash,commonStock,deferredLongTermAssetCharges,deferredLongTermLiab,goodWill,intangibleAssets,inventory,longTermDebt,longTermInvestments,minorityInterest.1,netReceivables,netTangibleAssets,otherCurrentAssets,otherCurrentLiab,otherStockholderEquity,propertyPlantEquipment,retainedEarnings,shortLongTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,treasuryStock,class,start_price,end_price,percentage_change,binary,sector,dilutedEPS,marketPricePerShare,PE_ratio,ROE,ROCE,grossProfitMargin,netProfitMargin,coverageRatio,currentRatio,quickRatio,debtToEquityRatio,totalAssetTurnover,ROA
BBRI.JK,1.30155E+13,3.0196E+12,5.60084E+12,4.1E+13,7.84E+12,2.81E+13,3.05E+12,3.11E+13,3.11E+13,3.08E+13,2.77259E+12,1.5E+13,58576637243,1.81E+13,8.19E+13,1.54E+14,1.18E+12,7.62E+13,1.56E+14,7.58E+12,2.79102E+11,5.49411E+11,3.42089E+12,3.59694E+12,3.63374E+12,6.36953E+12,6.07E+12,3.05E+12,1.39E+11,2.89E+14,3.77807E+11,1.13808E+12,1.78E+12,4.8E+13,1.82E+14,3.03652E+12,6.17541E+11,1.68E+15,1.19403E+13,8.04987E+12,1.39E+15,2.89E+14,45997000000,FALSE,3675.756264,3719.963623,0.012026738,1,financials,238,4172.191122,17.5302148,0.107612457,0.177758381,0.318828081,0.201948052,89.83938243,2.505249649,1.623366447,0.791407598,0.091666667,0.018511905
BBTN.JK,1.30155E+13,3.0196E+12,5.60084E+12,2.99E+12,6.17E+11,1.18E+13,2.47059E+12,2.38E+12,2.38E+12,2.38E+12,2.77259E+12,3.97E+11,58576637243,2.34E+12,8.16E+12,1.49E+13,5.03E+11,2.05E+12,4.12E+13,5.3E+12,2.79102E+11,5.49411E+11,3.42089E+12,3.59694E+12,3.63374E+12,6.36953E+12,2.19354E+12,2.47059E+12,0,2.14E+13,3.77807E+11,1.13808E+12,6.39462E+11,5.74E+12,2.53E+12,3.03652E+12,6.17541E+11,3.72E+14,1.19403E+13,8.04987E+12,3.5E+14,2.14E+13,3.08079E+11,FALSE,1655.831222,1651.059448,-0.0028818,1,financials,218,1639.251012,7.519500055,0.111214953,0.177758381,0.318828081,0.159731544,89.83938243,2.505249649,1.623366447,0.791407598,0.040053763,0.006397849
BDMN.JK,1.30155E+13,3.0196E+12,5.60084E+12,2.28E+12,6.11E+11,3.78E+12,5.44E+11,1.57E+12,1.57E+12,1.67E+12,2.77259E+12,1.47E+12,58576637243,1.57E+12,9.47E+12,1.75E+13,4.84E+11,7.99E+12,1.91E+13,6E+12,2.79102E+11,5.49411E+11,1.07E+12,6.24897E+11,3.63374E+12,6.36953E+12,9.49E+11,5.44E+11,0,4.28E+13,3.77807E+11,1.13808E+12,4.35E+11,1.9E+12,2.96E+13,3.03652E+12,6.17541E+11,1.92E+14,1.19403E+13,8.04987E+12,1.47E+14,4.45E+13,3.08079E+11,FALSE,3005.181134,2295.747803,-0.236070074,-1,financials,160.79,2631.093117,16.36353702,0.035280899,0.177758381,0.318828081,0.089714286,89.83938243,2.505249649,1.623366447,0.791407598,0.091145833,0.008177083
BEST.JK,1.12E+11,38806698308,1.18E+11,-69339589982,1755433281,1.08E+11,347749172,-71054037122,-71054037122,-71095023263,29479892371,4880310493,58576637243,14767472675,88656504266,2.3E+11,21410685354,2.31E+11,5.6E+11,9.65E+11,2.79102E+11,5.49411E+11,3.42089E+12,3.59694E+12,1.69E+12,1.29E+12,2.19354E+12,347749172,56901492696,4.29E+12,3.77807E+11,24571321876,6.39462E+11,1.56E+11,2.9E+12,3.21E+11,6.17541E+11,6.05E+12,2.51E+12,4.33E+11,1.75E+12,4.29E+12,3.08079E+11,FALSE,180,112,-0.377777778,-1,properties_realestate,-7.37,140.5587045,-19.07173738,-0.016562713,0.006908794,0.513043478,-0.308930596,0.359321281,5.796766744,1.623366447,0.375524476,0.038016529,-0.011744469
BFIN.JK,1.59E+12,1.18E+12,2.26E+12,1.41E+12,2.8E+11,2.11E+11,539000000,1.13E+12,1.13E+12,1.13E+12,1.18E+12,5.04E+11,58576637243,4.46E+11,1.08E+12,3.85E+12,78234000000,5.53E+11,9.69E+11,3.99E+11,1.66E+11,5.49411E+11,3.42089E+12,56193000000,3.63374E+12,7.28E+12,2.19354E+12,539000000,1.38E+13,7.37E+12,3.77807E+11,1.13808E+12,6.39462E+11,6.48E+11,6.57E+12,3.03652E+12,6.17541E+11,1.56E+13,1.48E+13,4.44E+11,8.21E+12,7.43E+12,2.52E+11,TRUE,529.7022616,1103.325562,1.082916464,1,financials,76,871.5384615,11.46761134,0.152086137,0.077856954,0.587012987,0.293506494,5.592417062,33.33333333,1.623366447,0.791407598,0.246794872,0.072435897
BJBR.JK,1.30155E+13,3.0196E+12,5.60084E+12,2.59E+12,5.69E+11,4.66E+12,47659000000,2.03E+12,2.03E+12,2.02E+12,2.77259E+12,7.12E+11,58576637243,1.74E+12,6.74E+12,9.58E+12,1.69E+11,1.06E+12,2.98E+13,2.46E+12,2.79102E+11,5.49411E+11,3.42089E+12,3.59694E+12,3.63374E+12,6.36953E+12,40821000000,47659000000,2.64E+11,1.3E+13,3.77807E+11,1.13808E+12,6.39462E+11,4.56E+12,3.66E+12,3.03652E+12,6.17541E+11,1.58E+14,1.19403E+13,8.04987E+12,1.45E+14,1.3E+13,3.08079E+11,FALSE,1362.427499,1247.665405,-0.084233542,0,financials,206.52,1415.364372,6.853400988,0.156153846,0.177758381,0.318828081,0.211899791,89.83938243,2.505249649,1.623366447,0.791407598,0.060632911,0.012848101
BJTM.JK,1.30155E+13,3.0196E+12,5.60084E+12,1.94E+12,4.15E+11,1.97E+12,2.47059E+12,1.52E+12,1.52E+12,1.52E+12,2.77259E+12,91548000000,58576637243,6.16E+11,2.8E+12,4.99E+12,1.01E+11,5.09E+11,2.1E+13,3.75E+12,2.79102E+11,5.49411E+11,3.42089E+12,3.59694E+12,3.63374E+12,6.36953E+12,2.19354E+12,2.47059E+12,412000000,1.09E+13,3.77807E+11,1.13808E+12,23365000000,1.14E+12,1.52E+12,3.03652E+12,6.17541E+11,1.01E+14,1.19403E+13,8.04987E+12,8.98E+13,1.09E+13,3.08079E+11,TRUE,575.1516221,702.3383789,0.221136048,1,financials,101.43,759.534413,7.488261984,0.139449541,0.177758381,0.318828081,0.304609218,89.83938243,2.505249649,1.623366447,0.791407598,0.049405941,0.015049505
BMRI.JK,1.30155E+13,3.0196E+12,5.60084E+12,3.84E+13,7.81E+12,2.05E+13,1.74E+13,2.8E+13,2.8E+13,3.06E+13,2.77259E+12,2.98E+12,58576637243,1.48E+13,6.07E+13,1.13E+14,2.68E+12,1.76E+13,1.96E+14,1.17E+13,2.79102E+11,5.49411E+11,3.42089E+12,5.11176E+12,3.63374E+12,6.36953E+12,2.43E+12,1.74E+13,0,2E+14,3.77807E+11,1.13808E+12,-1.06E+11,4.91E+13,1.37E+14,3.03652E+12,6.17541E+11,1.73E+15,1.19403E+13,8.04987E+12,1.5E+15,2.05E+14,1.51E+11,TRUE,2788.198088,3189.844727,0.144052404,1,financials,300.53,3220.546559,10.7162232,0.136585366,0.177758381,0.318828081,0.247787611,89.83938243,2.505249649,1.623366447,0.791407598,0.065317919,0.016184971
BNGA.JK,1.30155E+13,3.0196E+12,5.60084E+12,5.19E+12,1.09E+12,5.77E+12,11236000000,4.1E+12,4.1E+12,4.1E+12,2.77259E+12,1.05E+11,58576637243,2.62E+12,8.28E+12,1.77E+13,2.36E+11,7.03E+12,4.7E+13,1.61E+12,2.79102E+11,5.49411E+11,3.42089E+12,2.03322E+12,3.63374E+12,6.36953E+12,2.19354E+12,11236000000,0,4.13E+13,3.77807E+11,1.13808E+12,79302000000,6.62E+12,3.07E+13,3.03652E+12,6.17541E+11,3.11E+14,1.19403E+13,8.04987E+12,2.67E+14,4.34E+13,2.52E+11,FALSE,882.2549857,887.4123535,0.005845666,1,financials,164.48,997.1052632,6.062167213,0.094470046,0.177758381,0.318828081,0.231638418,89.83938243,2.505249649,1.623366447,0.791407598,0.056913183,0.01318328
BRIS.JK,1.30155E+13,3.0196E+12,5.60084E+12,4.06E+12,1.03E+12,1.52692E+12,2.47059E+12,3.03E+12,3.03E+12,3.03E+12,2.77259E+12,3.52E+11,58576637243,2.41E+12,8.9E+12,1.58E+13,1.8877E+12,-6.37E+12,2.66E+13,2.06E+13,2.79102E+11,5.49411E+11,3.42089E+12,3.59694E+12,3.63374E+12,6.36953E+12,2.19354E+12,2.47059E+12,0,2.5E+13,3.77807E+11,1.13808E+12,6.39462E+11,4.96E+12,9.43E+12,3.03652E+12,6.17541E+11,2.65E+14,1.19403E+13,8.04987E+12,2.4E+14,2.5E+13,3.08079E+11,FALSE,2271.719205,1758.113159,-0.226086941,-1,financials,73.66,2305.607287,31.30066911,0.1212,0.177758381,0.318828081,0.191772152,89.83938243,2.505249649,1.623366447,0.791407598,0.059622642,0.011433962
